.pred,brightness,year,lat,long
336.65248938590867,328,2019,-32.052,151.387
336.6892084514339,327.2,2019,-32.054,151.402
336.31153676245395,327.1,2019,-32.149,151.337
336.8141567043835,331.4,2019,-32.153,151.37
337.95617079969384,335.5,2019,-32.162,151.353
336.9314441386406,331.1,2019,-32.15,151.349
340.6743786716215,346.5,2019,-32.161,151.347
336.547467337259,332.1,2019,-32.568,150.48
335.6487147117009,325.5,2019,-32.575,150.542
335.64704752914014,325.3,2019,-32.577,150.557
336.5656234727134,330.9,2019,-32.578,150.572
336.44112029627746,330.2,2019,-32.58,150.587
338.3817972668687,339.6,2019,-32.582,150.602
338.4750961652932,340,2019,-32.594,150.616
337.58379187426044,335.6,2019,-32.608,150.646
336.1231992085366,327.1,2019,-32.61,150.662
336.3491717997961,328.4,2019,-32.621,150.756
339.86852900881365,347.4,2019,-32.573,150.235
337.258209213297,335.5,2019,-32.594,150.415
339.25160010327846,344.9,2019,-32.595,150.43
338.21325616650074,340.3,2019,-32.597,150.446
338.03577533838524,337.3,2019,-32.644,150.768
339.03190255016597,341.1,2019,-32.646,150.784
337.03980042048914,334.8,2019,-32.579,150.243
336.3093799532568,330,2019,-32.599,150.423
335.5773472291317,325,2019,-32.6,150.438
335.67085853400675,323.9,2019,-32.635,150.763
339.825422479931,344.7,2019,-32.647,150.777
336.606739651868,329,2019,-32.649,150.793
336.67010832385915,328.7,2019,-32.662,150.808
338.97714912252866,340.7,2019,-32.673,150.807
337.7460951732855,335.5,2019,-32.674,150.822
336.4764936824984,328,2019,-32.623,150.251
337.17416736550445,332.9,2019,-32.685,150.821
335.779106666122,324.2,2019,-32.698,150.835
337.512249841154,334.3,2019,-32.7,150.851
337.3555147265297,334.1,2019,-32.701,150.868
337.04650950338606,332,2019,-32.703,150.884
336.16456594032644,328.3,2019,-32.723,150.963
336.5590668779922,330.9,2019,-32.729,150.914
336.2279724873689,324.8,2019,-32.66,150.199
335.83510072179155,324.7,2019,-32.733,150.847
337.0161385748109,333.7,2019,-32.74,150.912
336.9740856591503,331.7,2019,-32.672,150.212
336.0646748748702,327.2,2019,-32.747,150.877
339.3790834151511,343.1,2019,-32.749,150.894
338.47493272394485,339.9,2019,-32.667,150.207
336.28422257255147,328.4,2019,-32.668,150.222
335.49213965231604,322.7,2019,-32.734,150.841
335.90570059951,326.5,2019,-32.741,150.905
338.1352067160386,338.2,2019,-32.688,150.116
347.6151908666167,370.9,2019,-32.69,150.13
358.70714938091237,392.3,2019,-32.692,150.145
338.57328774745264,340.2,2019,-32.695,150.174
340.8188568040305,350.5,2019,-32.698,150.202
349.861237726428,376.2,2019,-32.7,150.216
335.9666590437744,325,2019,-32.699,150.114
336.29408676682317,327.7,2019,-32.7,150.129
341.68566098389294,353.9,2019,-32.705,150.172
341.6074693610549,353.6,2019,-32.707,150.186
349.5661552573122,375.8,2019,-32.709,150.112
339.9737072052139,347.7,2019,-32.72,150.11
340.54680691601305,350.4,2019,-32.721,150.125
336.44901364961197,331.9,2019,-32.765,150.083
336.62696055295436,327.1,2019,-32.877,150.603
338.97405638906,343.3,2019,-32.991,150.186
338.0552380796074,339.7,2019,-32.988,149.978
