hotel,country,average_daily_rate
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.88641649048625
Resort Hotel,GBR,97.29138009049774
Resort Hotel,GBR,49.47170454545454
Resort Hotel,GBR,99.04005334427575
Resort Hotel,GBR,99.04005334427575
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,USA,135.43891304347827
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,IRL,98.78968056787933
Resort Hotel,PRT,77.10002823719242
Resort Hotel,IRL,98.78968056787933
Resort Hotel,FRA,49.01862068965517
Resort Hotel,GBR,97.29138009049774
Resort Hotel,GBR,99.04005334427575
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.88641649048625
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,77.10002823719242
Resort Hotel,IRL,67.49347107438017
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,NULL,76.46923076923076
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,110.88641649048625
Resort Hotel,IRL,67.49347107438017
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ROU,132.80684210526314
Resort Hotel,PRT,110.29466471404348
Resort Hotel,IRL,67.49347107438017
Resort Hotel,ESP,127.92289655172414
Resort Hotel,ROU,132.80684210526314
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,69.89027253668763
Resort Hotel,NOR,86.29552631578947
Resort Hotel,GBR,73.86021634615385
Resort Hotel,IRL,98.78968056787933
Resort Hotel,NOR,86.29552631578947
Resort Hotel,IRL,67.49347107438017
Resort Hotel,OMN,116.885
Resort Hotel,ESP,136.91021782977006
Resort Hotel,ARG,130.9629268292683
Resort Hotel,ESP,127.92289655172414
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.88641649048625
Resort Hotel,USA,135.43891304347827
Resort Hotel,PRT,110.29466471404348
Resort Hotel,IRL,98.78968056787933
Resort Hotel,ESP,127.92289655172414
Resort Hotel,IRL,67.49347107438017
Resort Hotel,PRT,110.29466471404348
Resort Hotel,USA,135.43891304347827
Resort Hotel,ESP,136.91021782977006
Resort Hotel,POL,97.3790909090909
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,77.10002823719242
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,DEU,68.60619607843137
Resort Hotel,PRT,77.10002823719242
Resort Hotel,FRA,66.79373297002725
Resort Hotel,PRT,77.10002823719242
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,110.88641649048625
Resort Hotel,GBR,73.86021634615385
Resort Hotel,GBR,73.86021634615385
Resort Hotel,GBR,99.04005334427575
Resort Hotel,PRT,77.10002823719242
Resort Hotel,GBR,99.04005334427575
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,USA,135.43891304347827
Resort Hotel,BEL,104.72053333333334
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,69.89027253668763
Resort Hotel,PRT,110.29466471404348
Resort Hotel,DEU,96.88714285714286
Resort Hotel,ESP,127.92289655172414
Resort Hotel,FRA,66.79373297002725
Resort Hotel,FRA,66.79373297002725
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.29466471404348
Resort Hotel,CHE,145.51670498084292
Resort Hotel,PRT,110.29466471404348
Resort Hotel,GBR,99.04005334427575
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,3.5412337662337663
Resort Hotel,ESP,136.91021782977006
Resort Hotel,FRA,108.42786464410734
Resort Hotel,PRT,110.29466471404348
Resort Hotel,FRA,108.42786464410734
Resort Hotel,FRA,108.42786464410734
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,136.91021782977006
Resort Hotel,DEU,101.38976034858388
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,DEU,101.38976034858388
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,FRA,108.42786464410734
Resort Hotel,ESP,136.91021782977006
Resort Hotel,CN,81.13842592592593
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.88641649048625
Resort Hotel,IRL,98.78968056787933
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,69.89027253668763
Resort Hotel,CHE,145.51670498084292
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.88641649048625
Resort Hotel,GBR,73.86021634615385
Resort Hotel,GBR,73.86021634615385
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,USA,135.43891304347827
Resort Hotel,CN,81.13842592592593
Resort Hotel,CHE,140.66553191489362
Resort Hotel,PRT,110.29466471404348
Resort Hotel,USA,135.43891304347827
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,USA,135.43891304347827
Resort Hotel,GRC,69.62222222222222
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.88641649048625
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,77.10002823719242
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,GBR,73.86021634615385
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,110.88641649048625
Resort Hotel,GBR,73.86021634615385
Resort Hotel,FRA,115.92145454545455
Resort Hotel,ITA,85.66275862068966
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,GBR,99.04005334427575
Resort Hotel,PRT,110.88641649048625
Resort Hotel,GBR,99.04005334427575
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,USA,87.99970588235294
Resort Hotel,NLD,87.98692307692308
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.29466471404348
Resort Hotel,IRL,67.49347107438017
Resort Hotel,PRT,77.10002823719242
Resort Hotel,IRL,67.49347107438017
Resort Hotel,GBR,99.04005334427575
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ESP,136.91021782977006
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,77.10002823719242
Resort Hotel,PRT,51.644649646931015
Resort Hotel,PRT,51.644649646931015
Resort Hotel,CHE,72.36
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,77.10002823719242
Resort Hotel,GBR,99.04005334427575
Resort Hotel,GBR,73.86021634615385
Resort Hotel,PRT,110.29466471404348
Resort Hotel,IRL,108.09834319526627
Resort Hotel,DNK,106.63972972972972
Resort Hotel,DNK,106.63972972972972
Resort Hotel,PRT,110.29466471404348
Resort Hotel,ARG,111.70333333333333
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.88641649048625
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
Resort Hotel,PRT,110.29466471404348
